dataset,method,method_label,run_timestamp,source,ratio,auc,ekr,esr,compression_ratio,accepted_events,mean_auc,mean_ekr,mean_esr
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,mixed,0.5,0.49694273873026396,0.002932894742116332,0.0009224045476008331,340.9600665557404,1202,0.49876556941332356,0.0016128593182656915,0.0004912170249525071
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,mixed,1.0,0.498074987148882,0.0024961752351373434,0.0005819933455100494,400.61290322580646,1364,0.49876556941332356,0.0016128593182656915,0.0004912170249525071
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,mixed,2.0,0.4991115325349408,0.0015860679559409618,0.0004136179122178339,630.49,1300,0.49876556941332356,0.0016128593182656915,0.0004912170249525071
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,mixed,5.0,0.499760262760284,0.0006844606250524521,0.00028550616949549597,1461.0044563279857,1122,0.49876556941332356,0.0016128593182656915,0.0004912170249525071
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,mixed,10.0,0.4999383258922472,0.0003646980330813676,0.00025256314993832334,2741.9945255474454,1096,0.49876556941332356,0.0016128593182656915,0.0004912170249525071
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,shot,0.5,0.49782064591696273,0.0024230326525866985,0.0009992715932342358,412.70594159113796,993,0.49906677878238115,0.0014435925520956516,0.0005812612784087789
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,shot,1.0,0.49853245816195857,0.002203372772783041,0.0007576894498149701,453.84966777408636,1204,0.49906677878238115,0.0014435925520956516,0.0005812612784087789
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,shot,2.0,0.49923041446313887,0.0015275799669325352,0.0005087866353829993,654.6301916932907,1252,0.49906677878238115,0.0014435925520956516,0.0005812612784087789
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,shot,5.0,0.4997990578320802,0.0006899576401337981,0.0003550525441161937,1449.3642793987622,1131,0.49906677878238115,0.0014435925520956516,0.0005812612784087789
nmnist,proposed_lowmem,Proposed Low-Mem,20260522_144740_407941,shot,10.0,0.4999513175377655,0.0003740197280421853,0.00028550616949549597,2673.655693950178,1124,0.49906677878238115,0.0014435925520956516,0.0005812612784087789
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,ba,0.5,0.5913890372078034,0.9090041518211365,,1.1001049639069123,372509,0.5295553011366327,0.9655806303024292,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,ba,1.0,0.5439185355729705,0.9409093856811523,,1.062801612881265,514111,0.5295553011366327,0.9655806303024292,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,ba,2.0,0.511868637879348,0.9796692728996277,,1.0207526396939226,802934,0.5295553011366327,0.9655806303024292,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,ba,5.0,0.5006112760295609,0.9985456466674805,,1.0014564915903494,1636810,0.5295553011366327,0.9655806303024292,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,ba,10.0,0.4999890189934809,0.999774694442749,,1.000225327773695,3004512,0.5295553011366327,0.9655806303024292,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,mixed,0.5,0.5965102646452937,0.9035365581512451,,1.1067620847961113,370300,0.5320787304146286,0.9622678875923156,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,mixed,1.0,0.548597655452985,0.9344296455383301,,1.0701715216820797,510606,0.5320787304146286,0.9622678875923156,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,mixed,2.0,0.514472631661887,0.9754976630210876,,1.0251177531473796,799554,0.5320787304146286,0.9622678875923156,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,mixed,5.0,0.500809258698199,0.9981314539909363,,1.0018720388415974,1636184,0.5320787304146286,0.9622678875923156,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,mixed,10.0,0.5000038416147783,0.9997441172599792,,1.0002559530723854,3004457,0.5320787304146286,0.9622678875923156,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,shot,0.5,0.6094742956254904,0.890180230140686,,1.1233679905485305,364811,0.5390778635702554,0.953111207485199,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,shot,1.0,0.5620749499996625,0.916895866394043,,1.0906363767005174,501024,0.5390778635702554,0.953111207485199,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,shot,2.0,0.5221093415422458,0.9626584649085999,,1.0387900004055808,788992,0.5390778635702554,0.953111207485199,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,shot,5.0,0.5016697860976981,0.9962031245231628,,1.0038113737418148,1633007,0.5390778635702554,0.953111207485199,
nmnist,stcf_rc_snn,STCF,20260522_101453_643577,shot,10.0,0.5000609445861808,0.9996183514595032,,1.0003818188960074,3004042,0.5390778635702554,0.953111207485199,
